Date,Price,Open,High,Low,Change %,Vol.
2018-06-06,160.24,161.06,161.32,159.94,-0.76%,600580
2018-06-07,159.57,160.12,160.14,159.54,-0.42%,31810
2018-06-08,160.40,160.23,161.13,160.18,0.52%,959960
2018-06-11,159.74,160.22,160.22,159.55,-0.41%,623120
2018-06-12,159.85,159.84,159.92,159.37,0.07%,634990
2018-06-13,160.07,159.80,160.22,159.63,0.14%,620450
2018-06-14,160.71,160.00,160.85,159.45,0.40%,953590
2018-06-15,161.16,160.88,161.52,160.75,0.28%,792240
2018-06-18,161.15,161.17,161.41,161.02,-0.01%,456230
2018-06-19,161.53,161.49,161.86,161.46,0.24%,721420
2018-06-20,161.51,161.43,161.69,161.31,-0.01%,521730
2018-06-21,162.15,161.31,162.35,161.26,0.40%,977020
2018-06-22,162.10,162.15,162.24,161.80,-0.03%,536050
2018-06-25,162.23,162.34,162.57,162.01,0.08%,510180
2018-06-26,162.09,162.05,162.37,161.75,-0.09%,598320
2018-06-27,162.30,162.09,162.55,162.01,0.13%,607010
2018-06-28,162.46,162.42,162.66,162.18,0.10%,512920
2018-06-29,162.55,162.15,162.65,161.85,0.06%,699210
2018-07-02,162.63,162.57,162.89,162.42,0.05%,460780
2018-07-03,162.72,162.41,162.81,162.22,0.06%,504750
2018-07-04,162.55,162.60,162.87,162.37,-0.10%,316430
2018-07-05,162.70,162.37,162.78,162.06,0.09%,608840
2018-07-06,162.82,162.50,162.93,162.47,0.07%,428970
2018-07-09,162.61,162.67,162.73,162.35,-0.13%,406310
2018-07-10,162.38,162.49,162.57,162.26,-0.14%,488690
2018-07-11,162.53,162.59,162.80,162.40,0.09%,547380
2018-07-12,162.77,162.55,162.82,162.45,0.15%,412720
2018-07-13,162.98,162.68,163.22,162.66,0.13%,452730
2018-07-16,162.47,162.97,162.97,162.44,-0.31%,388740
2018-07-17,162.85,162.59,162.90,162.57,0.23%,365310
2018-07-18,162.95,162.75,163.20,162.75,0.06%,429740
2018-07-19,163.08,162.78,163.26,162.70,0.08%,457410
2018-07-20,162.53,163.16,163.39,162.44,-0.34%,596600
2018-07-23,162.10,162.41,162.54,161.97,-0.26%,570470
2018-07-24,162.28,162.03,162.33,161.82,0.11%,536470
2018-07-25,162.37,162.34,162.47,161.90,0.06%,441500
2018-07-26,162.18,161.95,162.37,161.88,-0.12%,546250
2018-07-27,162.07,162.05,162.23,161.97,-0.07%,450080
2018-07-30,161.43,162.13,162.30,161.33,-0.39%,631430
2018-07-31,161.58,161.90,162.05,161.41,0.09%,692910
2018-08-01,160.91,161.42,161.45,160.86,-0.41%,690870
2018-08-02,161.26,161.16,161.55,161.05,0.22%,679540
2018-08-03,162.05,161.37,162.12,161.37,0.49%,668420
2018-08-06,162.35,162.01,162.38,161.83,0.19%,352120
2018-08-07,162.01,162.23,162.39,161.97,-0.21%,341620
2018-08-08,162.11,162.04,162.27,161.96,0.06%,347530
2018-08-09,162.50,162.27,162.62,162.22,0.24%,445900
2018-08-10,163.34,162.69,163.45,162.69,0.52%,754290
2018-08-13,163.36,163.46,163.62,163.22,0.01%,647390
